Samples,/xavier_ssd/minknow/Barcoded_data_run/Results/unclassified_output,/xavier_ssd/minknow/Barcoded_data_run/Results/unclassified_output,/xavier_ssd/minknow/Barcoded_data_run/Results/unclassified_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,18375,827,185.1665850340136,no_rank,root
2,17548,252,188.82556416685662,superkingdom,Bacteria
1224,7,3,52.857142857142854,phylum,Proteobacteria
28211,4,4,52.0,class,Alphaproteobacteria
1783272,17289,88,190.9084388917809,no_rank,Terrabacteria group
1239,17201,31,191.68001860356955,phylum,Firmicutes
91061,17170,54,191.95649388468257,class,Bacilli
186826,17116,445,192.43508997429305,order,Lactobacillales
33958,16671,551,195.56595285225842,family,Lactobacillaceae
1253,79,0,66.35443037974683,genus,Pediococcus
114090,5,5,86.8,species,Pediococcus inopinatus
187452,74,0,64.97297297297297,species,Pediococcus claussenii
701521,74,74,64.97297297297297,strain,Pediococcus claussenii ATCC BAA-344
1578,8196,3386,174.81466569058077,genus,Lactobacillus
1579,4303,4303,218.35161515221938,species,Lactobacillus acidophilus
1596,475,475,74.15578947368421,species,Lactobacillus gasseri
33959,13,13,60.07692307692308,species,Lactobacillus johnsonii
655183,19,19,71.94736842105263,species_group,Lactobacillus casei group
2759736,6376,0,230.30332496863238,genus,Lacticaseibacillus
1597,11,11,84.9090909090909,species,Lacticaseibacillus paracasei
47715,6365,6365,230.55459544383348,species,Lacticaseibacillus rhamnosus
2767842,248,3,145.91935483870967,genus,Lactiplantibacillus
1590,245,245,147.02857142857144,species,Lactiplantibacillus plantarum
2767886,1216,0,219.62006578947367,genus,Levilactobacillus
1580,1216,1192,219.62006578947367,species,Levilactobacillus brevis
1001583,24,24,150.75,strain,Lactobacillus brevis KB290
2767893,5,0,65.2,genus,Lentilactobacillus
1581,5,0,65.2,species,Lentilactobacillus buchneri
2737512,5,0,65.2,subspecies,Lentilactobacillus buchneri subsp. silagei
1071400,5,5,65.2,strain,Lactobacillus buchneri subsp. silagei CD034
