Samples,barcode58_output,barcode58_output,barcode58_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4835,0,880.9946225439504,no_rank,root
2,4835,1,880.9946225439504,superkingdom,Bacteria
1783272,4834,0,881.1681836988001,no_rank,Terrabacteria group
201174,4834,0,881.1681836988001,phylum,Actinobacteria
1760,4834,1,881.1681836988001,class,Actinomycetia
85004,4833,0,881.3432650527623,order,Bifidobacteriales
31953,4833,0,881.3432650527623,family,Bifidobacteriaceae
1678,4833,8,881.3432650527623,genus,Bifidobacterium
28025,4825,4825,882.6976165803109,species,Bifidobacterium animalis
