Samples,barcode82_kr2_output,barcode82_kr2_output,barcode82_kr2_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,2900,0,336.71172413793107,no_rank,root
2,2900,0,336.71172413793107,superkingdom,Bacteria
1783272,2900,0,336.71172413793107,no_rank,Terrabacteria group
201174,2900,0,336.71172413793107,phylum,Actinobacteria
1760,2900,0,336.71172413793107,class,Actinomycetia
85004,2900,0,336.71172413793107,order,Bifidobacteriales
31953,2900,0,336.71172413793107,family,Bifidobacteriaceae
1678,2900,0,336.71172413793107,genus,Bifidobacterium
28025,2900,1714,336.71172413793107,species,Bifidobacterium animalis
302911,312,95,41.37820512820513,subspecies,Bifidobacterium animalis subsp. lactis
442563,12,12,43.416666666666664,strain,Bifidobacterium animalis subsp. lactis AD011
552531,14,14,38.785714285714285,strain,Bifidobacterium animalis subsp. lactis BB-12
555970,5,5,41.8,strain,Bifidobacterium animalis subsp. lactis DSM 10140
1075106,3,3,39.0,strain,Bifidobacterium animalis subsp. lactis BLC1
1167629,132,132,40.24242424242424,strain,Bifidobacterium animalis subsp. lactis ATCC 27673
1168290,5,5,39.6,strain,Bifidobacterium animalis subsp. lactis B420
1281781,3,3,38.0,strain,Bifidobacterium animalis subsp. lactis Bl12
1316911,43,43,45.30232558139535,strain,Bifidobacterium animalis subsp. lactis KLDS2.0603
302912,874,638,40.25400457665904,subspecies,Bifidobacterium animalis subsp. animalis
703613,236,236,39.45762711864407,strain,Bifidobacterium animalis subsp. animalis ATCC 25527
