Samples,./barcode02_kr2_output,./barcode02_kr2_output,./barcode02_kr2_output,./barcode10_kr2_output,./barcode10_kr2_output,./barcode10_kr2_output,./barcode18_kr2_output,./barcode18_kr2_output,./barcode18_kr2_output,./barcode26_kr2_output,./barcode26_kr2_output,./barcode26_kr2_output,./barcode34_kr2_output,./barcode34_kr2_output,./barcode34_kr2_output,./barcode42_kr2_output,./barcode42_kr2_output,./barcode42_kr2_output,./barcode50_kr2_output,./barcode50_kr2_output,./barcode50_kr2_output,./barcode58_kr2_output,./barcode58_kr2_output,./barcode58_kr2_output,./barcode66_kr2_output,./barcode66_kr2_output,./barcode66_kr2_output,./barcode74_kr2_output,./barcode74_kr2_output,./barcode74_kr2_output,./barcode82_kr2_output,./barcode82_kr2_output,./barcode82_kr2_output,./barcode90_kr2_output,./barcode90_kr2_output,./barcode90_kr2_output,./shane_kraken2_kr2_output,./shane_kraken2_kr2_output,./shane_kraken2_kr2_output,./zymo_mockcommunity_kr2_output,./zymo_mockcommunity_kr2_output,./zymo_mockcommunity_kr2_output,SHARED_class,SHARED_class,SHARED_class,SHARED_phylum,SHARED_phylum,SHARED_phylum,SHARED_SUMMARY,SHARED_SUMMARY,SHARED_SUMMARY,Details,Details
Stats,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,count,unassigned,score,Rank,Name
Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4287,0,326.89923023093064,5494,0,335.53258099745176,4362,0,311.28564878496104,4909,0,322.4114891016501,4249,0,323.3986820428336,4760,0,342.4415966386555,4234,0,328.65257439773256,4846,0,331.8974411886091,3722,0,300.6824288017195,3963,0,334.9553368660106,2900,0,336.71172413793107,4056,0,340.87919132149904,118428,916,79.19020839666297,118428,916,79.19020839666297,3705,0,209.5689328778185,3705,0,209.56231470396267,3705,0,209.5689328778185,no_rank,root
2,4287,0,326.89923023093064,5494,0,335.53258099745176,4362,2,311.28564878496104,4909,0,322.4114891016501,4249,0,323.3986820428336,4760,0,342.4415966386555,4234,1,328.65257439773256,4846,0,331.8974411886091,3722,1,300.6824288017195,3963,0,334.9553368660106,2900,0,336.71172413793107,4056,1,340.87919132149904,117461,140,79.4726419832966,117461,140,79.4726419832966,3705,0,209.5689328778185,3705,0,209.56231470396267,3705,0,209.5689328778185,superkingdom,Bacteria
1224,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,43254,91,70.7116798446387,43254,91,70.7116798446387,0,0,-inf,0,0,-inf,0,0,-inf,phylum,Proteobacteria
1236,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,43031,64,70.77358183635054,43031,64,70.77358183635054,0,0,-inf,0,0,-inf,0,0,-inf,class,Gammaproteobacteria
72274,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,11410,0,105.11928133216477,11410,0,105.11928133216477,0,0,-inf,0,0,-inf,0,0,-inf,order,Pseudomonadales
468,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,1,37.42857142857143,7,1,37.42857142857143,0,0,-inf,0,0,-inf,0,0,-inf,family,Moraxellaceae
469,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,37.333333333333336,6,6,37.333333333333336,0,0,-inf,0,0,-inf,0,0,-inf,genus,Acinetobacter
135621,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,11403,3,105.16083486801719,11403,3,105.16083486801719,0,0,-inf,0,0,-inf,0,0,-inf,family,Pseudomonadaceae
286,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,11400,110,105.17868421052631,11400,110,105.17868421052631,0,0,-inf,0,0,-inf,0,0,-inf,genus,Pseudomonas
136841,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,11243,14,106.03415458507516,11243,14,106.03415458507516,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Pseudomonas aeruginosa group
287,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,11229,10798,106.11755276516163,11229,10798,106.11755276516163,0,0,-inf,0,0,-inf,0,0,-inf,species,Pseudomonas aeruginosa
208964,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,36,0,40.611111111111114,36,0,40.611111111111114,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa PAO1
1147787,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,36,36,40.611111111111114,36,36,40.611111111111114,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,Pseudomonas aeruginosa PAO1H2O
381754,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,91,91,38.89010989010989,91,91,38.89010989010989,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa PA7
388272,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,15,15,38.0,15,15,38.0,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa PACS2
941193,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,38.833333333333336,6,6,38.833333333333336,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa M18
1009714,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,33,33,39.45454545454545,33,33,39.45454545454545,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa PAK
1093787,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,14,14,39.5,14,14,39.5,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa DK2
1280938,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,31,31,38.67741935483871,31,31,38.67741935483871,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa B136-33
1340851,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,39.333333333333336,6,6,39.333333333333336,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa RP73
1352355,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,18,18,39.05555555555556,18,18,39.05555555555556,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa c7447m
1400868,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,48,48,39.104166666666664,48,48,39.104166666666664,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa VRFPA04
1408272,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,39.0,6,6,39.0,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa LES431
1415629,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,42,42,39.357142857142854,42,42,39.357142857142854,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa MTB-1
1427342,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,26,26,39.30769230769231,26,26,39.30769230769231,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa SCV20265
1448140,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,25,25,39.56,25,25,39.56,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa YL84
1457392,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,34,34,39.44117647058823,34,34,39.44117647058823,0,0,-inf,0,0,-inf,0,0,-inf,strain,Pseudomonas aeruginosa PA96
136842,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,12,0,65.33333333333333,12,0,65.33333333333333,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Pseudomonas chlororaphis group
587753,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,12,12,65.33333333333333,12,12,65.33333333333333,0,0,-inf,0,0,-inf,0,0,-inf,species,Pseudomonas chlororaphis
136843,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,9,2,42.0,9,2,42.0,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Pseudomonas fluorescens group
294,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,7,42.714285714285715,7,7,42.714285714285715,0,0,-inf,0,0,-inf,0,0,-inf,species,Pseudomonas fluorescens
136849,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,19,2,51.26315789473684,19,2,51.26315789473684,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Pseudomonas syringae group
251701,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,17,17,52.8235294117647,17,17,52.8235294117647,0,0,-inf,0,0,-inf,0,0,-inf,species,Pseudomonas syringae group genomosp. 3
196821,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,7,39.285714285714285,7,7,39.285714285714285,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,unclassified Pseudomonas
91347,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,31519,106,58.42774199689077,31519,106,58.42774199689077,0,0,-inf,0,0,-inf,0,0,-inf,order,Enterobacterales
543,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,31377,4736,58.50266118494439,31377,4736,58.50266118494439,0,0,-inf,0,0,-inf,0,0,-inf,family,Enterobacteriaceae
544,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,144,50,38.99305555555556,144,50,38.99305555555556,0,0,-inf,0,0,-inf,0,0,-inf,genus,Citrobacter
545,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,10,10,38.4,10,10,38.4,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter koseri
35703,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,8,8,38.75,8,8,38.75,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter amalonaticus
67824,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,9,9,38.77777777777778,9,9,38.77777777777778,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter farmeri
67825,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,0,39.42857142857143,7,0,39.42857142857143,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter rodentium
637910,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,7,39.42857142857143,7,7,39.42857142857143,0,0,-inf,0,0,-inf,0,0,-inf,strain,Citrobacter rodentium ICC168
1344959,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,54,27,39.42592592592593,54,27,39.42592592592593,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Citrobacter freundii complex
546,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,14,14,38.714285714285715,14,14,38.714285714285715,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter freundii
67827,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,38.333333333333336,6,6,38.333333333333336,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter werkmanii
2816438,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,7,1,43.57142857142857,7,1,43.57142857142857,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,unclassified Citrobacter freundii complex
2077147,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,44.666666666666664,6,6,44.666666666666664,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter freundii complex sp. CFNIH3
2644389,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,1,39.5,6,1,39.5,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,unclassified Citrobacter
1702170,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,5,5,39.4,5,5,39.4,0,0,-inf,0,0,-inf,0,0,-inf,species,Citrobacter sp. FDAARGOS_156
547,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,73,11,38.76712328767123,73,11,38.76712328767123,0,0,-inf,0,0,-inf,0,0,-inf,genus,Enterobacter
354276,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,40,22,38.5,40,22,38.5,0,0,-inf,0,0,-inf,0,0,-inf,species_group,Enterobacter cloacae complex
550,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,9,9,39.77777777777778,9,9,39.77777777777778,0,0,-inf,0,0,-inf,0,0,-inf,species,Enterobacter cloacae
61645,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,9,3,38.888888888888886,9,3,38.888888888888886,0,0,-inf,0,0,-inf,0,0,-inf,species,Enterobacter asburiae
640513,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,38.333333333333336,6,6,38.333333333333336,0,0,-inf,0,0,-inf,0,0,-inf,strain,Enterobacter asburiae LF7a
2608935,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,22,6,38.90909090909091,22,6,38.90909090909091,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,unclassified Enterobacter
1166130,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,5,5,39.0,5,5,39.0,0,0,-inf,0,0,-inf,0,0,-inf,species,Enterobacter sp. R4-368
1692238,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,6,6,36.833333333333336,6,6,36.833333333333336,0,0,-inf,0,0,-inf,0,0,-inf,species,Enterobacter sp. FY-07
1914861,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,5,5,39.4,5,5,39.4,0,0,-inf,0,0,-inf,0,0,-inf,species,Enterobacter sp. SA187
561,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,10599,332,53.49797150674592,10599,332,53.49797150674592,0,0,-inf,0,0,-inf,0,0,-inf,genus,Escherichia
562,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,9921,8967,54.47081947384336,9921,8967,54.47081947384336,0,0,-inf,0,0,-inf,0,0,-inf,species,Escherichia coli
83333,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,143,18,37.68531468531469,143,18,37.68531468531469,0,0,-inf,0,0,-inf,0,0,-inf,strain,Escherichia coli K-12
511145,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,20,20,39.8,20,20,39.8,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,Escherichia coli str. K-12 substr. MG1655
595496,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,84,84,36.0,84,84,36.0,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,Escherichia coli BW2952
879462,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,0,0,-inf,21,21,40.57142857142857,21,21,40.57142857142857,0,0,-inf,0,0,-inf,0,0,-inf,no_rank,Escherichia coli str. K-12 substr. MG1655star
